#{"t_start": 1612828669.4251776, "env_id": "Rotpen-250-v0"}
r,l,t
0.000314,1500,4.502688
0.000315,1500,11.315714
0.00031,1500,17.930128
0.000304,1500,21.909229
0.000313,1500,28.534283
0.000303,1500,35.189312
0.000295,1500,41.752454
0.000296,1500,45.89412
0.000301,1500,52.398641
0.000294,1500,58.971096
0.00029,1500,65.680352
0.00029,1500,69.5544
0.00029,1500,75.909895
0.000287,1500,82.136061
0.000288,1500,86.316822
0.000283,1500,92.980176
0.000283,1500,99.512997
0.000281,1500,106.092805
0.000283,1500,109.603755
0.000283,1500,115.873111
0.000282,1500,121.621574
0.000282,1500,127.111164
0.000282,1500,130.95826
0.000282,1500,137.516954
0.000282,1500,144.088885
0.000281,1500,150.202646
0.000281,1500,154.365056
0.000281,1500,160.687418
0.000282,1500,167.187735
0.00028,1500,170.896088
0.000281,1500,176.908682
0.00028,1500,183.084739
0.000278,1500,189.453974
0.000279,1500,193.308511
0.000279,1500,199.652138
0.00028,1500,205.844356
0.00028,1500,211.897198
0.000277,1500,215.971073
0.000279,1500,222.292619
0.000277,1500,228.74201
0.000278,1500,235.098763
0.000278,1500,239.010139
0.000277,1500,245.295949
0.000276,1500,251.618023
0.000277,1500,255.402373
0.00028,1500,261.768687
0.000278,1500,268.348757
0.000279,1500,274.783469
0.000279,1500,278.612519
0.000279,1500,285.244305
0.000279,1500,291.83552
0.00028,1500,298.208948
0.00028,1500,302.163085
0.000282,1500,308.415981
0.000284,1500,314.99675
0.000283,1500,321.610483
0.000287,1500,325.629188
0.000288,1500,331.875477
0.000287,1500,338.14299
0.000287,1500,342.248868
0.000287,1500,348.819016
0.000289,1500,355.417294
0.00029,1500,361.589784
0.000292,1500,365.684278
0.000296,1500,371.913984
0.000295,1500,378.263631
0.000296,1500,384.903154
0.000297,1500,388.924036
0.000299,1500,395.410275
0.000298,1500,401.816678
0.000301,1500,408.366009
0.000303,1500,412.527099
0.000305,1500,419.08041
0.000305,1500,425.60794
0.000304,1500,429.69865
0.000309,1500,436.268355
0.000306,1500,442.768853
0.000307,1500,449.158166
0.000309,1500,453.121095
0.000311,1500,459.654873
0.00031,1500,465.929508
0.000313,1500,472.522772
0.000319,1500,476.489526
0.000325,1500,482.906865
0.000315,1500,489.386717
0.000319,1500,493.537683
0.000318,1500,500.037589
0.000312,1500,506.523878
0.000315,1500,512.951762
0.000313,1500,517.095074
0.000319,1500,523.694527
0.000322,1500,530.357061
0.000318,1500,536.932676
0.000317,1500,540.957402
0.000317,1500,547.457849
0.000316,1500,553.873276
0.000318,1500,560.359367
0.000315,1500,564.514596
0.000314,1500,570.765931
0.00031,1500,577.310121
0.000313,1500,581.419528
0.000312,1500,588.039533
0.000313,1500,594.538685
0.000313,1500,600.972968
0.000314,1500,604.560698
0.000312,1500,611.164845
0.000311,1500,617.710301
0.000308,1500,624.273015
0.000307,1500,628.440514
0.000309,1500,634.658463
0.000305,1500,641.035504
0.000308,1500,647.702559
0.000306,1500,651.918684
0.000306,1500,658.553989
0.000308,1500,664.946747
0.000306,1500,669.018994
0.000303,1500,675.407854
0.000306,1500,682.00773
0.000303,1500,688.477874
0.000304,1500,692.313366
0.000305,1500,698.729062
0.000304,1500,705.299412
0.000304,1500,711.917737
0.000305,1500,716.048363
0.000306,1500,722.29979
0.000304,1500,728.387342
0.0003,1500,734.992584
0.000303,1500,739.139549
0.000307,1500,745.587073
0.000303,1500,751.865293
0.000303,1500,756.046449
0.000301,1500,762.591208
0.000297,1500,769.16694
0.000296,1500,775.586629
0.000296,1500,779.600959
0.000296,1500,786.107194
0.000293,1500,792.583708
0.000302,1500,799.145698
0.000293,1500,803.359966
0.000293,1500,809.65822
0.000295,1500,816.057539
0.000293,1500,822.73783
0.000293,1500,826.927822
0.000293,1500,833.587343
0.000292,1500,840.155027
0.000288,1500,844.299382
0.000289,1500,850.86648
0.000293,1500,857.37074
0.000289,1500,864.024649
0.000287,1500,868.241105
0.000285,1500,874.683294
0.000285,1500,881.318233
0.000289,1500,887.755426
0.000285,1500,891.946708
0.000289,1500,898.479827
0.000292,1500,904.984313
0.000293,1500,909.059527
0.000289,1500,915.673799
0.000291,1500,922.331746
0.000285,1500,928.914227
0.000294,1500,933.001996
0.000294,1500,939.463196
0.000295,1500,946.054947
0.000292,1500,952.784753
0.000294,1500,956.851584
0.000293,1500,963.129347
0.000287,1500,969.827492
0.000285,1500,976.425132
0.000289,1500,980.540937
0.000293,1500,987.08349
0.000294,1500,993.200697
0.000294,1500,997.387973
0.000292,1500,1003.968668
0.000294,1500,1010.710513
0.000289,1500,1017.268357
0.000287,1500,1021.31823
0.000292,1500,1028.013859
0.000288,1500,1034.66176
0.00029,1500,1041.352896
0.000294,1500,1045.468506
0.000296,1500,1051.916663
0.000293,1500,1058.337363
0.000295,1500,1064.988047
0.000283,1500,1069.264169
0.000283,1500,1075.78715
0.000291,1500,1082.212767
0.000287,1500,1086.444534
0.000287,1500,1092.91614
0.000287,1500,1099.586176
0.00029,1500,1106.165006
0.000294,1500,1110.265755
0.000284,1500,1116.640585
0.000285,1500,1123.231178
0.000281,1500,1129.864385
0.000284,1500,1134.095621
0.000284,1500,1140.623796
0.000291,1500,1147.308178
0.000286,1500,1153.957595
0.000291,1500,1158.134218
0.000292,1500,1164.60871
0.000288,1500,1171.022273
0.000285,1500,1175.225181
0.000286,1500,1181.695199
0.000295,1500,1188.045124
0.000295,1500,1194.819647
0.000288,1500,1198.976202
0.000292,1500,1205.206901
0.000285,1500,1211.824591
0.000292,1500,1218.445385
0.000294,1500,1222.546707
0.000284,1500,1229.168452
0.000288,1500,1235.628857
0.000292,1500,1242.214844
0.000287,1500,1246.338163
0.000287,1500,1252.983386
0.000287,1500,1259.50593
0.000281,1500,1263.624799
0.000289,1500,1270.212626
0.000285,1500,1276.79197
0.000283,1500,1283.55969
0.000288,1500,1287.687701
0.000284,1500,1294.181797
0.000283,1500,1300.70596
0.000287,1500,1307.015162
0.000283,1500,1310.749322
0.00028,1500,1317.362653
0.000281,1500,1323.675636
0.000291,1500,1327.875995
0.000285,1500,1334.371649
0.000285,1500,1341.165037
0.000285,1500,1347.691758
0.000281,1500,1351.707458
0.000288,1500,1358.041455
0.000283,1500,1364.52658
0.000279,1500,1371.219648
0.000289,1500,1375.454532
0.000292,1500,1382.023531
0.000284,1500,1388.553534
0.000283,1500,1395.089906
0.000286,1500,1399.309044
0.000293,1500,1405.953154
0.00029,1500,1412.494117
0.000287,1500,1416.619836
0.000295,1500,1423.216324
0.000289,1500,1429.733575
0.000289,1500,1436.357872
0.000285,1500,1440.418754
0.000289,1500,1447.055727
0.000288,1500,1453.609466
0.000294,1500,1460.042689
0.000291,1500,1464.116376
0.000297,1500,1470.321319
0.000288,1500,1476.47873
0.000292,1500,1483.167108
0.000285,1500,1487.331229
0.000291,1500,1493.975304
0.00029,1500,1500.600255
0.000289,1500,1504.759184
0.000289,1500,1511.317153
0.000289,1500,1517.924225
0.000294,1500,1524.601647
0.000294,1500,1528.762556
0.000286,1500,1535.237077
0.000297,1500,1541.730428
0.000292,1500,1548.27365
0.000293,1500,1552.399304
0.000291,1500,1559.011371
0.00029,1500,1565.554095
0.000286,1500,1572.042885
0.000296,1500,1576.187733
0.000294,1500,1582.771598
0.000292,1500,1589.431802
0.000295,1500,1593.513767
0.000286,1500,1600.166466
0.000294,1500,1606.783447
0.000294,1500,1613.379185
